"ANP","CATEGORIA","ANIO_REPORTE","FUENTE_IMAG","MES_IMAG","DEFO_CAUSA","CONFIABILIDAD","TIPO_BOSQUE","ZONIFI_ANP","AREA_DEFO","FECHA_CORTE"
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"GLADS2",3,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",7.3647226080574,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"GLADS2",3,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",4.796802096148,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"GLADS2",2,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",1.58690611844637,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"GLADS2",5,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",0.60452170132242,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"GLADS2",4,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",3.19485773267882,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"GLADS2",5,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",0.2984942711523,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"GLADS2",2,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",0.1208876221759,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"GLADS2",6,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",0.16932443738058,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"GLADS2",6,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",0.04398220246768,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"GLADS2",4,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",0.541744659634668,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PNCB LANDSAT",10,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",11.2928982496188,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PNCB LANDSAT",10,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",5.42367274413071,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PNCB LANDSAT",6,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",1.0187385282497,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PNCB LANDSAT",8,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",3.69109502646607,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PNCB LANDSAT",8,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",1.86250220664534,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PNCB LANDSAT",7,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",6.40495376845255,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PNCB LANDSAT",7,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",4.02926402407838,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PNCB LANDSAT",6,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",5.81765046778108,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PNCB LANDSAT",11,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",0.487852304568,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PNCB LANDSAT",11,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",0.634357858009,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PNCB LANDSAT",4,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",3.86868306956921,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PNCB LANDSAT",4,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",3.71277703997329,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PNCB LANDSAT",9,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",2.5257463295504,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PNCB LANDSAT",9,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",9.98857724449193,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PLANET",11,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",4.14371649256045,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PLANET",10,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",13.4033082513707,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PLANET",6,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",8.44567406287754,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PLANET",9,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",12.383140386655,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PLANET",9,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",6.20791394744492,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PLANET",4,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",4.28140079174191,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PLANET",7,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",5.85550743596697,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PLANET",12,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",2.12081474300209,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PLANET",7,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",5.38505934130964,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PLANET",5,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",2.0780285383897,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PLANET",12,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",2.28304940672342,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PLANET",6,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",6.7348918646383,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PLANET",4,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",0.2593044729385,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PLANET",3,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",0.268630855685426,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PLANET",11,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",6.8304697351073,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PLANET",5,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",6.62417981962697,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PLANET",10,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",3.299803419898,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PLANET",8,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",3.01019434181878,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"PLANET",8,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",57.1988731997111,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"GFW INTEGRADAS",12,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",1.614641789624,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"GFW INTEGRADAS",12,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",1.01406057502643,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"GFW INTEGRADAS",2,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",0.27234885722213,20240621
"SAN MATIAS-SAN CARLOS","BOSQUE DE PROTECCIÓN",2023,"GFW INTEGRADAS",2,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",0.1450643342636,20240621
"EL SIRA","RESERVA COMUNAL",2023,"GFW INTEGRADAS",12,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",0.490290734459,20240621
"EL SIRA","RESERVA COMUNAL",2023,"PLANET",8,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",0.527002758637,20240621
"EL SIRA","RESERVA COMUNAL",2023,"GLADS2",3,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",0.1452535567135,20240621
"EL SIRA","RESERVA COMUNAL",2023,"GLADS2",3,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",0.0242088702998,20240621
"EL SIRA","RESERVA COMUNAL",2023,"PLANET",9,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",0.75964853412198,20240621
"EL SIRA","RESERVA COMUNAL",2023,"PNCB LANDSAT",12,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",1.630366368878,20240621
"EL SIRA","RESERVA COMUNAL",2023,"PLANET",5,"AGRICULTURA","ALTO","SECUNDARIO","ZONA DE APROVECHAMIENTO DIRECTO",9.6908693998259,20240621
"EL SIRA","RESERVA COMUNAL",2023,"PLANET",4,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",2.5587994247195,20240621
"EL SIRA","RESERVA COMUNAL",2023,"PNCB LANDSAT",10,"AGRICULTURA","ALTO","PRIMARIO","ZONA DE APROVECHAMIENTO DIRECTO",2.97195085112683,20240621
